gene,set,immune_beta_unadj,immune_p_unadj,immune_beta_adj,immune_p_adj,CYT_beta_adj,CYT_p_adj,melanocyte_lineage
ZNF442,background,0.11044690679382717,5.953075235070356e-30,0.11235753817176708,1.0757855942454166e-30,0.036948030332439374,0.00020717806306711983,False
SCARF2,background,0.19188995214370638,6.395137104208695e-88,0.19252769531753738,9.167651614582573e-88,0.0889395849091083,5.289777801581145e-19,False
PLEKHH2,background,0.15389853450286003,7.639419285644984e-57,0.15408733640354252,1.651113967158592e-56,0.07663734533516223,1.2303169976725748e-14,False
TUFMP1,background,-0.017937177347096583,0.06563375526883179,-0.01871704062851618,0.05578093296274429,-0.023301814326369095,0.020755113990256695,False
MRPL20,background,-0.0041738669151783715,0.6684057738377516,-0.004620129231299628,0.6368523958890728,0.0024411542445643385,0.8046131296717889,False
PMS2P14,background,-0.007295617863156273,0.4540327015615422,-0.007520981714379912,0.44217101287299265,-0.0001666223286440562,0.9867835534980087,False
CR1,background,0.6433414778290218,0.0,0.6430892030097735,0.0,0.3763407774979846,0.0,False
DNM1,background,0.0956447310029369,7.72936952990196e-23,0.09642533854003706,5.2842904899777593e-23,0.06024515713600786,1.4811396924680156e-09,False
MYH1,background,0.08388543938994876,6.477620957282736e-18,0.0849638986006862,3.388215165237229e-18,0.050647892391405776,3.9104945564933215e-07,False
RTN2,background,0.049791038399936934,3.172808849939981e-07,0.04906805609430547,5.249127652826296e-07,0.012876718493610788,0.19594158157761862,False
CDY2B,background,-0.0020086532303822736,0.8310218513272462,-0.0022807852640691975,0.8093140001722102,0.010204258194380277,0.29945829025634463,False
EIF2AP1,background,0.10776231219748324,9.906299915068037e-29,0.10840503541108017,8.006274911230095e-29,0.07570342000894571,1.1739583034573448e-13,False
PLA2G4C,background,0.3485592123046145,1.2855723976075584e-298,0.3495181523369114,8.18098567149115e-298,0.22056199597429932,5.805630225342137e-112,False
