gene,rho_immune_hot,rho_immune_cold,delta_rho,z_fisher,pvalue,hdi_low_a,hdi_high_a,hdi_low_b,hdi_high_b,prob_neg_a,prob_neg_b,ess_a,ess_b,rhat_a,rhat_b,fdr
CLMP,-0.22844953484808292,-0.1545265135525527,-0.07392302129553022,-1.1934402538113102,0.23269699794855503,-0.3181953295818701,-0.1413608424281454,-0.2479094460592321,-0.07806112637069584,1.0,0.9995,2348.0,2340.0,1.0,1.0,0.548766717087234
LPAR1,-0.3255111156225367,-0.39204115431965825,0.06653003869712154,1.1877181600724607,0.23494446666855429,-0.40570771631753977,-0.2456497108954761,-0.4618979551882818,-0.3164637861653832,1.0,1.0,2362.0,2036.0,1.0,1.0,0.5511197329831513
EGFR,-0.2780037173474039,-0.34661714755590145,0.06861343020849753,1.1825272979804056,0.23699654058810626,-0.35579429877134783,-0.19659441894918328,-0.4190559641115929,-0.2693189136426222,1.0,1.0,2202.0,2077.0,1.0,1.0,0.5529919280389146
CTNNB1,-0.1549758017992314,-0.22792843115175382,0.07295262935252242,1.1777402806967414,0.23890016311284612,-0.24035113626187737,-0.06356044418699303,-0.3149126734946331,-0.1496287626323452,0.999,1.0,2750.0,1972.0,1.0,1.0,0.5544998522777113
MSI2,-0.28150230584400315,-0.21131846293460288,-0.07018384290940027,-1.1620922921830512,0.24519797799764698,-0.3677591097498039,-0.20172301971944023,-0.29256078436020494,-0.12713139347592645,1.0,1.0,1898.0,2233.0,1.0,1.0,0.5631360890867035
GRHL2,-0.6205346474228934,-0.5724770047651067,-0.04805764265778678,-1.1607325438405636,0.24575068287931168,-0.6742573524205373,-0.5638314682129426,-0.6279976129560376,-0.5115703873016115,1.0,1.0,1785.0,1439.0,1.0,1.0,0.5631360890867035
RHD,-0.2320343712941352,-0.1604447401424741,-0.07158963115166112,-1.1579496907745952,0.24688456758469246,-0.31651500276569605,-0.1439587473056711,-0.24597530355087965,-0.07836568322631621,1.0,0.9995,2091.0,2337.0,1.0,1.0,0.5631360890867035
ACTB,-0.21840870213051677,-0.1465759902891016,-0.07183271184141518,-1.1556130107379181,0.24783948378735676,-0.3043703221979857,-0.13037492837198977,-0.22667211851290547,-0.057587382431817546,1.0,1.0,2231.0,2407.0,1.0,1.0,0.5631360890867035
SQSTM1,-0.3167803162388265,-0.24858328131113816,-0.06819703492768836,-1.1527676796245305,0.2490057536777941,-0.3970787867394124,-0.23735375150907206,-0.3270335880777671,-0.1677376750208721,1.0,1.0,2136.0,2537.0,1.0,1.0,0.5631360890867035
DENND4A,-0.10489647197154808,-0.17721761498057667,0.07232114300902859,1.1475270357302314,0.25116386600277674,-0.19811582304717973,-0.017920242425327748,-0.2629739606284,-0.09103690450583457,0.991,1.0,2755.0,2292.0,1.0,1.0,0.5651186985062477
PHF13,-0.14900226512328885,-0.21898607246236082,0.06998380733907197,1.1264824578088923,0.2599613616782036,-0.23626663027232458,-0.06182758184446291,-0.29887507178595735,-0.1378518277145544,1.0,1.0,2555.0,2279.0,1.0,1.0,0.5776219434174366
LRPPRC,-0.08661081710411112,-0.15792699598026685,0.07131617887615574,1.1258702551093875,0.2602204413155754,-0.172519961886626,0.0012530033928483952,-0.2372613081973196,-0.0659489599065608,0.9715,0.9995,2349.0,2309.0,1.0,1.0,0.5776219434174366
XYLT2,-0.10272690337273582,-0.17360034984284708,0.07087344647011126,1.1236065891318505,0.2611799595667942,-0.19742304020091384,-0.021863676691540768,-0.2580346875000752,-0.08554676141851475,0.9875,1.0,2364.0,2192.0,1.0,1.0,0.5776219434174366
KCNMA1,-0.12204627585988992,-0.19235103496999084,0.07030475911010092,1.1210218789215922,0.2622785495202167,-0.20826193563894085,-0.035387510077812934,-0.27750141189078986,-0.11048526390486973,0.9965,1.0,2145.0,2233.0,1.0,1.0,0.5776219434174366
NAV2,-0.26719602582371665,-0.19917352396420698,-0.06802250185950967,-1.118695969247438,0.26326986536713093,-0.3512304783965367,-0.18554783204665487,-0.28784413111384044,-0.11752313553067162,1.0,1.0,2389.0,2089.0,1.0,1.0,0.5776219434174366
MTAP,-0.45311929724581956,-0.3951146807128796,-0.05800461653293998,-1.1000743302692244,0.27129973719481326,-0.5214857966178115,-0.3830944044051616,-0.4687730984874108,-0.31808405625973957,1.0,1.0,1918.0,1634.0,1.0,1.0,0.5922929906084785
TUBB,-0.3290302161556595,-0.2649571867740006,-0.06407302938165893,-1.0928605203375175,0.27445504456196756,-0.4043611033553511,-0.24683147159068608,-0.3523245235950594,-0.18803127511810835,1.0,1.0,2196.0,2348.0,1.0,1.0,0.5945230450503058
HBQ1,-0.0925530609568915,-0.16151702129570644,0.06896396033881494,1.0900210011079439,0.2757038931497027,-0.18820899068577002,-0.0053164701705391,-0.24680570273622626,-0.08149974486501721,0.973,0.9995,1999.0,2393.0,1.0,1.0,0.5945230450503058
SPINT2,-0.3023527429109025,-0.2374578720563373,-0.06489487085456522,-1.0885200553010632,0.2763655878351762,-0.3912294946347932,-0.22060212006070185,-0.31489286869314986,-0.1527089050094142,1.0,1.0,2188.0,2583.0,1.0,1.0,0.5945230450503058
WDR83OS,-0.13271366718693856,-0.19955135978935604,0.06683769260241748,1.0688631951762448,0.28513131837809036,-0.22017010133140907,-0.04278798574668219,-0.2936036798028887,-0.12414118301768551,0.9955,1.0,2354.0,2447.0,1.0,1.0,0.6094909405488852
NUDT22,-0.1316386969708565,-0.1983419853516068,0.06670328838075029,1.066296437371581,0.28628965948522966,-0.21642385258542202,-0.03915562696030972,-0.27464599581266486,-0.10886885231367721,0.9975,1.0,2611.0,2079.0,1.0,1.0,0.6094909405488852
COPG1,-0.10640721585692736,-0.17347064463366735,0.06706342877673999,1.0636889100605975,0.28746964996410007,-0.2013313290695813,-0.02847241918351351,-0.25590020581639994,-0.08518371034482519,0.989,1.0,2242.0,2098.0,1.0,1.0,0.6094909405488852
ILK,-0.07406732442531805,-0.14098244809072077,0.06691512366540273,1.0527051526172573,0.2924761464005401,-0.16281690053093806,0.02175310780657913,-0.2288237339291203,-0.055253674364233785,0.942,0.998,2441.0,2615.0,1.0,1.0,0.6171075399444472
ZNF596,-0.180350191492791,-0.24467859779827827,0.06432840630548728,1.0476597838627812,0.2947953825658367,-0.2656716770994856,-0.09125891265636626,-0.32315324365036563,-0.16316105876003828,1.0,1.0,2287.0,2397.0,1.0,1.0,0.6171075399444472
H3C7,-0.17419673373597977,-0.2385547660803231,0.06435803234434334,1.0453221250476685,0.2958741152724177,-0.2541472005702874,-0.08169032246379565,-0.3185700280896817,-0.1531304764875489,1.0,1.0,2489.0,2351.0,1.0,1.0,0.6171075399444472
