gene,E1_edd_rho,E2_delta_rho,E3_evasion_rho,E4_prism_rho,E6_min_cox_p,E6_mean_hr,composite_score
IGF1R,-0.4416116934472768,0.0326182320910444,0.137541547377764,-0.1892884219836515,2.0913167383113522e-08,1.0293702433893597,0.3012048192771084
ATP5F1B,-0.4669610123105695,0.0052587023482874,0.2088046227160791,-0.2118517637161759,5.8352941214885374e-05,1.0214150859844762,0.29819277108433734
TNFAIP3,-0.6307112164808937,0.0874677518856337,0.1232154506561196,,,,0.29518072289156627
DOCK10,-0.480156720856279,0.0014239430048019,0.1420716611203393,-0.2407504259178659,3.8010748424449575e-05,0.9967810899656119,0.29186746987951806
BAMBI,-0.5498173654263215,0.0227041073975539,0.0764933984551361,-0.2510217749103968,0.001383827641916,0.9984149606185211,0.29036144578313255
DYRK1A,-0.4037388026703972,0.0645394158671469,0.1102917400153766,-0.2364656890175524,0.0022093033595659,0.9886186857285676,0.29006024096385546
TGIF1,-0.4893972065072374,0.0307557383437279,0.1103616160855965,-0.2287016556355993,0.0003935163329792,1.0119975743995258,0.29006024096385546
TSPAN4,-0.5882976680911488,0.0685326591639022,0.1601941281351498,,,,0.288855421686747
B2M,-0.6356279811258705,0.0390018804612097,0.2116308745708264,,,,0.2873493975903615
H2BC14,-0.4650145034947966,0.058567887558063,0.1085647619717363,-0.2197020797730438,0.0061262314749297,1.0008007448535534,0.28704819277108434
CDH1,-0.4932440117579103,0.1527972009935139,0.155720423178209,,,,0.28644578313253016
ZNF596,-0.7354066984677469,0.0516915294426197,0.0963001434578793,,,,0.28373493975903613
RXRA,-0.627110302367002,0.1086851829961414,0.0800174005186174,,,,0.28343373493975904
ACTB,-0.3925687410099182,0.0482037351449197,0.1051053420658092,-0.1859103903812986,7.362530258900927e-06,1.1312029117992795,0.27710843373493976
DUSP4,-0.5221330404178061,0.0372969486869456,0.090435766990294,-0.2181493535774251,0.0109335032949697,0.9535984019450284,0.2728915662650602
TEAD1,-0.3281033202016675,0.1796891035813929,0.2377653117660285,,,,0.2680722891566265
FAM83H,-0.3335952271216477,0.0885791933725606,0.0347453080731667,-0.4369564230492929,,,0.2677710843373494
